name,population
Afghanistan,
Antigua and Barbuda,
Antarctica,
Anguilla,
Angola,
Andorra,
American Samoa,
Algeria,
Albania,
Aland Islands,
Argentina,
Barbados,
Bangladesh,
Bahrain,
Bahamas,
Azerbaijan,
Austria,
Australia,
Aruba,
Armenia,
Botswana,
Bosnia and Herzegovina,
"Bonaire, Saint Eustatius and Saba",
Bolivia,
Bhutan,
Bermuda,
Benin,
Belize,
Belgium,
Belarus,
Cameroon,
Cambodia,
Burundi,
Burkina Faso,
Bulgaria,
Brunei,
British Virgin Islands,
British Indian Ocean Territory,
Brazil,
Bouvet Island,
Canada,
Colombia,
Cocos Islands,
Christmas Island,
China,
Chile,
Chad,
Central African Republic,
Cayman Islands,
Cape Verde,
Denmark,
Democratic Republic of the Congo,
Czech Republic,
Cyprus,
Curacao,
Cuba,
Croatia,
Costa Rica,
Cook Islands,
Comoros,
Estonia,
Eritrea,
Equatorial Guinea,
El Salvador,
Egypt,
Ecuador,
East Timor,
Dominican Republic,
Dominica,
Djibouti,
Gabon,
French Southern Territories,
French Polynesia,
French Guiana,
France,
Finland,
Fiji,
Faroe Islands,
Falkland Islands,
Ethiopia,
Guam,
Guadeloupe,
Grenada,
Greenland,
Greece,
Gibraltar,
Ghana,
Germany,
Georgia,
Gambia,
Hungary,
Hong Kong,
Honduras,
Heard Island and McDonald Islands,
Haiti,
Guyana,
Guinea-Bissau,
Guinea,
Guernsey,
Guatemala,
Italy,
Israel,
Isle of Man,
Ireland,
Iraq,
Iran,
Indonesia,
India,
Iceland,
Ivory Coast,
Kyrgyzstan,
Kuwait,
Kosovo,
Kiribati,
Kenya,
Kazakhstan,
Jordan,
Jersey,
Japan,
Jamaica,
Lithuania,
Liechtenstein,
Libya,
Liberia,
Lesotho,
Lebanon,
Latvia,
Laos,
Macao,
Luxembourg,
Martinique,
Marshall Islands,
Malta,
Mali,
Maldives,
Malaysia,
Malawi,
Madagascar,
Macedonia,
Mauritania,
Morocco,
Montserrat,
Montenegro,
Mongolia,
Monaco,
Moldova,
Micronesia,
Mexico,
Mayotte,
Mauritius,
Nicaragua,
New Zealand,
New Caledonia,
Netherlands Antilles,
Netherlands,
Nepal,
Nauru,
Namibia,
Myanmar,
Mozambique,
Palau,
Pakistan,
Oman,
Norway,
Northern Mariana Islands,
North Korea,
Norfolk Island,
Niue,
Nigeria,
Niger,
Puerto Rico,
Portugal,
Poland,
Pitcairn,
Philippines,
Peru,
Paraguay,
Papua New Guinea,
Panama,
Palestinian Territory,
Saint Lucia,
Saint Kitts and Nevis,
Saint Helena,
Saint Barthelemy,
Rwanda,
Russia,
Romania,
Reunion,
Republic of the Congo,
Qatar,
Saint Martin,
Serbia and Montenegro,
Serbia,
Senegal,
Saudi Arabia,
Sao Tome and Principe,
San Marino,
Samoa,
Saint Vincent and the Grenadines,
Saint Pierre and Miquelon,
South Georgia and the South Sandwich Islands,
South Africa,
Somalia,
Solomon Islands,
Slovenia,
Slovakia,
Sint Maarten,
Singapore,
Sierra Leone,
Seychelles,
Switzerland,
Sweden,
Swaziland,
Svalbard and Jan Mayen,
Suriname,
Sudan,
Sri Lanka,
Spain,
South Sudan,
South Korea,
Tunisia,
Trinidad and Tobago,
Tonga,
Tokelau,
Togo,
Thailand,
Tanzania,
Tajikistan,
Taiwan,
Syria,
United States,
United Kingdom,
United Arab Emirates,
Ukraine,
Uganda,
U.S. Virgin Islands,
Tuvalu,
Turks and Caicos Islands,
Turkmenistan,
Turkey,
Western Sahara,
Wallis and Futuna,
Vietnam,
Venezuela,
Vatican,
Vanuatu,
Uzbekistan,
Uruguay,
United States Minor Outlying Islands,
Yemen,
Zimbabwe,
Zambia,
